"Plasma_lipid","Intestinal_ba","bicor","adj_pval"
"LacCER.d18.1.26.1","3a7b",-1,NA
"PC.12.0_16.0","3a7b",-0.12941047816446,0.811197676100416
"PC.12.0_18.0","3a7b",-0.275668341437667,0.755405042027003
"PC.12.0_18.1","3a7b",0.26501929906817,0.652485326621734
"PC.12.0_18.2","3a7b",-0.605495286211286,0.888043903258597
"PC.12.0_18.3","3a7b",1,NA
"PC.14.0_16.0","3a7b",-0.050469029666682,1
"PC.14.0_16.1","3a7b",-0.00205181749149863,1
"PC.14.0_18.0","3a7b",0.602279975353347,0.890155880333054
"PC.14.0_18.1","3a7b",-0.214381438887617,0.544881355110322
"PC.14.0_18.2","3a7b",-0.242603248559555,0.454574883456355
"PC.14.0_20.3","3a7b",-0.310173116874324,0.625662644210174
"PC.14.0_20.4","3a7b",-0.190935382961954,0.80377218353422
"PC.14.0_22.6","3a7b",NA,NA
"PC.14.1_20.0","3a7b",-0.443901323601428,0.723769198205752
"PC.15.0_18.1","3a7b",-0.134346703172029,0.820435065899507
"PC.15.0_18.2","3a7b",-0.274062705676487,0.387768507158897
"PC.15.0_20.3","3a7b",0.0812211520415113,1
"PC.15.0_20.4","3a7b",-0.316180444456207,0.790154223886607
"PC.15.0_22.6","3a7b",-0.31028942196866,0.951173283013334
"PC.16.0_16.0","3a7b",0.0672989846747422,0.954806054557909
"PC.16.0_16.1","3a7b",-0.224894895691214,0.504176241601256
"PC.16.0_18.0","3a7b",-0.155058283441326,0.715292191772081
"PC.16.0_18.1","3a7b",-0.235772832290616,0.473099705369536
"PC.16.0_18.2","3a7b",0.0354254722189817,1
"PC.16.0_18.3","3a7b",-0.160996794227098,0.698311902953841
"PC.16.0_20.1","3a7b",-0.317042939696499,0.265718725166018
"PC.16.0_20.2","3a7b",-0.219866701393345,0.518879015950535
"PC.16.0_20.3","3a7b",-0.26788148238949,0.383552406838802
"PC.16.0_20.4","3a7b",-0.189417396114071,0.610737443459603
"PC.16.0_20.5","3a7b",0.00505153087754083,1
"PC.16.0_22.1","3a7b",NA,NA
"PC.16.0_22.2","3a7b",-1,NA
"PC.16.0_22.4","3a7b",-0.0382128200027246,1
"PC.16.0_22.5","3a7b",-0.0534873175478912,0.99081976288368
"PC.16.0_22.6","3a7b",-0.236746916846942,0.521913235256942
"PC.16.1_17.0","3a7b",0.152353855824291,0.93076053257241
"PC.16.1_18.0","3a7b",-0.167761501771593,0.67823542511306
"PC.16.1_18.1","3a7b",-0.2239074997582,0.507032996826523
"PC.16.1_18.2","3a7b",-0.278158716101799,0.358028726001953
"PC.16.1_20.0","3a7b",-0.0929105858422746,0.929290588709507
"PC.17.0_18.1","3a7b",-0.280302459713396,0.353036232214687
"PC.17.0_18.2","3a7b",-0.227125554263447,0.497174031932195
"PC.17.0_20.3","3a7b",-0.199583711560857,0.656988600868778
"PC.17.0_20.4","3a7b",-0.154766518830019,0.742644764366531
"PC.17.0_22.5","3a7b",NA,NA
"PC.17.0_22.6","3a7b",-0.379111200122892,0.374578479817805
"PC.18.0_18.0","3a7b",-0.248034418282026,0.438448160796118
"PC.18.0_18.1","3a7b",-0.213439949133698,0.539138943375373
"PC.18.0_18.2","3a7b",-0.102219278300641,0.86700978078174
"PC.18.0_18.3","3a7b",-0.163602108353747,0.713559264602246
"PC.18.0_20.0","3a7b",-0.0190078442595556,1
"PC.18.0_20.1","3a7b",-0.0557326273707414,0.996744171608889
"PC.18.0_20.2","3a7b",-0.160758055968228,0.698919626049546
"PC.18.0_20.3","3a7b",-0.200219225916238,0.579805056185356
"PC.18.0_20.4","3a7b",-0.142789765293998,0.749707223642985
"PC.18.0_20.5","3a7b",0.0855997215187747,0.939423592360032
"PC.18.0_22.4","3a7b",-0.913404568914164,0.608295935928545
"PC.18.0_22.5","3a7b",-0.0693464842636505,0.976123199905005
"PC.18.0_22.6","3a7b",0.106765822412695,0.877090502986231
"PC.18.1_18.1","3a7b",-0.221318527498951,0.514634072421011
"PC.18.1_18.2","3a7b",-0.229706970346907,0.490739136464389
"PC.18.1_18.3","3a7b",-0.222556686347925,0.574282450316585
"PC.18.1_20.0","3a7b",-0.0560855405173052,0.980201272024176
"PC.18.1_20.1","3a7b",-0.297512369829744,0.402217223080175
"PC.18.1_20.2","3a7b",-0.240514931819015,0.535269876247289
"PC.18.1_20.3","3a7b",-0.26036751816186,0.403437505326922
"PC.18.1_20.4","3a7b",-0.250914535491477,0.430417443190725
"PC.18.1_20.5","3a7b",-0.47165920092158,0.363778851932435
"PC.18.1_22.4","3a7b",NA,NA
"PC.18.1_22.5","3a7b",-0.15483039193847,0.951775230680397
"PC.18.1_22.6","3a7b",-0.0675689480457151,0.974124970772767
"PC.18.2_18.2","3a7b",-0.00753561737611303,1
"PC.18.2_18.3","3a7b",-0.0438251367019742,1
"PC.18.2_20.0","3a7b",0.115622574588969,0.833442860697516
"PC.18.2_20.1","3a7b",-0.145852894566163,0.740711051014215
"PC.18.2_20.2","3a7b",-0.341716597944863,0.451530254612617
"PC.18.2_20.3","3a7b",-0.395556168500672,0.150743244220795
"PC.18.2_20.4","3a7b",-0.262077968474927,0.431299868031258
"PC.18.2_20.5","3a7b",NA,NA
"PC.18.2_22.6","3a7b",-0.572834000145869,0.322138713419958
"PC.20.0_20.1","3a7b",NA,NA
"PC.20.0_20.3","3a7b",0.696505376310271,0.83856667541947
"PC.20.0_20.4","3a7b",0.00427372461209876,1
"PE.14.0_16.0","3a7b",NA,NA
"PE.14.0_18.0","3a7b",NA,NA
"PE.14.0_18.1","3a7b",NA,NA
"PE.14.1_18.1","3a7b",NA,NA
"PE.16.0_16.0","3a7b",NA,NA
"PE.16.0_16.1","3a7b",NA,NA
"PE.16.0_18.0","3a7b",NA,NA
"PE.16.0_18.1","3a7b",NA,NA
"PE.16.1_18.1","3a7b",NA,NA
"PE.18.0_18.0","3a7b",NA,NA
"PE.18.0_18.1","3a7b",NA,NA
"PE.18.0_20.1","3a7b",NA,NA
"PE.18.1_18.1","3a7b",NA,NA
"PE.18.1_22.0","3a7b",NA,NA
"PE.O.16.0.16.0","3a7b",NA,NA
"PE.O.18.0.16.0","3a7b",NA,NA
"PE.O.18.0.18.1","3a7b",NA,NA
"PE.P.16.0.16.0","3a7b",NA,NA
"PE.P.16.0.18.1","3a7b",NA,NA
"PE.P.16.1.18.1","3a7b",NA,NA
"PE.P.18.0.16.0","3a7b",NA,NA
"PE.P.18.0.18.0","3a7b",NA,NA
"PE.P.18.0.18.1","3a7b",NA,NA
"PE.P.18.1.16.0","3a7b",NA,NA
"SM.d18.1.14.0","3a7b",-0.194966164471899,0.594285243545784
"SM.d18.1.16.0","3a7b",-0.114110968134417,0.837487723867607
"SM.d18.1.18.0","3a7b",-0.132311975763127,0.786441823655993
"SM.d18.1.18.1","3a7b",-0.160752748961593,0.698919626049546
"SM.d18.1.20.0","3a7b",-0.135801666956821,0.774674488788531
"SM.d18.1.20.1","3a7b",-0.210307424448827,0.547170624670113
"SM.d18.1.22.0","3a7b",-0.144839471916105,0.743593197634542
"SM.d18.1.22.1","3a7b",-0.234846225619424,0.47538343635673
"SM.d18.1.24.0","3a7b",-0.121045347503674,0.816744452722885
"SM.d18.1.24.1","3a7b",-0.00656062504461453,1
"SM.d18.1.26.0","3a7b",-0.0518718956907042,0.99081976288368
"SM.d18.1.26.1","3a7b",-0.0221507609730562,1
"TG.36.0.FA12.0","3a7b",-0.252458051582337,0.426784037795936
"TG.38.0.FA12.0","3a7b",-0.254741686491987,0.452149178691345
"TG.40.0.FA12.0","3a7b",-0.330776641046686,0.454951244871704
"TG.40.0.FA14.0","3a7b",-0.303443648016043,0.593094435785314
"TG.40.0.FA16.0","3a7b",-0.413856256278175,0.291525898928169
"TG.42.0.FA12.0","3a7b",0.0265239814543382,1
"TG.42.0.FA14.0","3a7b",-0.0130141978008346,1
"TG.42.0.FA16.0","3a7b",0.0728917866033715,0.980942539091095
"TG.42.1.FA12.0","3a7b",-0.899968552568545,0.0347680032484344
"TG.42.1.FA14.0","3a7b",-0.0551465324067893,1
"TG.42.1.FA16.0","3a7b",-0.362100285093864,0.47538343635673
"TG.42.1.FA16.1","3a7b",-0.922116870279794,0.310071604894238
"TG.42.1.FA18.1","3a7b",-0.339474949280994,0.47538343635673
"TG.42.2.FA18.2","3a7b",-0.433106684458125,0.736144211354325
"TG.44.0.FA12.0","3a7b",0.113189742514338,0.924590969720833
"TG.44.0.FA14.0","3a7b",-0.0557900079840644,1
"TG.44.0.FA16.0","3a7b",-0.152425354946344,0.792146894075033
"TG.44.0.FA18.0","3a7b",-0.101610554022896,0.973258135426207
"TG.44.1.FA12.0","3a7b",0.0177320204486529,1
"TG.44.1.FA14.0","3a7b",0.164962600456022,0.812006083024501
"TG.44.1.FA14.1","3a7b",-0.458364386986173,0.650096738068468
"TG.44.1.FA16.0","3a7b",-0.184644208121967,0.6790530904117
"TG.44.1.FA16.1","3a7b",-0.155792858850822,0.883829190498449
"TG.44.1.FA18.1","3a7b",-0.269878520383116,0.525561027903061
"TG.44.2.FA12.0","3a7b",-0.378735242785238,0.664921405242192
"TG.44.2.FA14.0","3a7b",0.29670449529781,0.812417774788427
"TG.44.2.FA16.0","3a7b",-0.261156939445424,0.533233658481834
"TG.44.2.FA16.1","3a7b",-0.397222031698788,0.407879383189278
"TG.44.2.FA18.1","3a7b",-0.298854740752081,0.561477791715038
"TG.44.2.FA18.2","3a7b",-0.581100846872341,0.268936656370031
"TG.44.3.FA18.2","3a7b",NA,NA
"TG.45.0.FA14.0","3a7b",0.0433729395841304,1
"TG.45.0.FA15.0","3a7b",0.0100227764952765,1
"TG.45.0.FA16.0","3a7b",-0.297016919066776,0.431287362252854
"TG.45.1.FA15.0","3a7b",-0.423356431108579,0.478719082198093
"TG.45.1.FA16.0","3a7b",-0.111031338728742,0.912492079293478
"TG.45.1.FA18.1","3a7b",-0.17425764709219,0.853392362001638
"TG.46.0.FA12.0","3a7b",-0.00754453507033178,1
"TG.46.0.FA14.0","3a7b",-0.193484720007001,0.645310866591281
"TG.46.0.FA16.0","3a7b",-0.284231192596815,0.34237255696658
"TG.46.0.FA18.0","3a7b",0.0439293076864389,1
"TG.46.1.FA12.0","3a7b",-0.239964281616133,0.51309092827349
"TG.46.1.FA14.0","3a7b",-0.184305303081517,0.688302902458495
"TG.46.1.FA14.1","3a7b",0.0833086133666448,0.959610492314285
"TG.46.1.FA16.0","3a7b",-0.324120054380544,0.270003770821409
"TG.46.1.FA16.1","3a7b",-0.205739787960558,0.652307853172591
"TG.46.1.FA18.0","3a7b",-0.271902272926185,0.717171220668825
"TG.46.1.FA18.1","3a7b",-0.31493156093636,0.336711845837182
"TG.46.2.FA12.0","3a7b",-0.24289405006467,0.473099705369536
"TG.46.2.FA14.0","3a7b",-0.0172294480502873,1
"TG.46.2.FA14.1","3a7b",-0.249341735963435,0.591257062989814
"TG.46.2.FA16.0","3a7b",-0.315417098194248,0.279724568229341
"TG.46.2.FA16.1","3a7b",-0.246723007396492,0.531164303538779
"TG.46.2.FA18.1","3a7b",-0.196301714614822,0.599081505565185
"TG.46.2.FA18.2","3a7b",-0.153790404541559,0.7702033162194
"TG.46.3.FA12.0","3a7b",-0.148638888933834,0.838438708000793
