"Liver_lipid","Liver_ba","bicor","adj_pval"
"TG.52.4.FA22.4","TLCA",0.0897533121783013,0.792457655746851
"TG.52.5.FA14.0","TLCA",0.38636193596432,0.0248042103720758
"TG.52.5.FA16.0","TLCA",0.0925403855263156,0.703253229059042
"TG.52.5.FA16.1","TLCA",0.234856001531549,0.230467757593959
"TG.52.5.FA18.1","TLCA",0.660277906740439,2.55953812896231e-06
"TG.52.5.FA18.2","TLCA",0.115650853596245,0.617548015894994
"TG.52.5.FA18.3","TLCA",0.141308190134538,0.533615720051039
"TG.52.5.FA20.3","TLCA",0.553740018945115,0.000183091328268197
"TG.52.5.FA20.4","TLCA",0.377032340724009,0.0291224877424752
"TG.52.5.FA20.5","TLCA",0.12190290437666,0.599216643190786
"TG.52.5.FA22.5","TLCA",0.0286237487047661,0.939275187585184
"TG.52.6.FA14.0","TLCA",0.210540020368203,0.324672892566579
"TG.52.6.FA16.0","TLCA",0.127471304543081,0.577036217960979
"TG.52.6.FA16.1","TLCA",0.00820185809652725,1
"TG.52.6.FA18.1","TLCA",0.486548346958662,0.00183453929431738
"TG.52.6.FA18.2","TLCA",0.0938994612427886,0.698324728948002
"TG.52.6.FA18.3","TLCA",0.124056966061552,0.587842872128792
"TG.52.6.FA20.4","TLCA",0.315510436864623,0.0757578845289093
"TG.52.6.FA20.5","TLCA",0.117941621127866,0.609841964370919
"TG.52.6.FA22.6","TLCA",0.21359459436051,0.295032042903503
"TG.52.7.FA16.0","TLCA",0.709960694588158,1.81465908762105e-07
"TG.52.7.FA18.1","TLCA",0.72307153684958,1.09722550439055e-07
"TG.52.7.FA20.5","TLCA",0.0580472188323688,0.849170139223177
"TG.52.7.FA22.6","TLCA",0.138901163944185,0.540449480403654
"TG.52.8.FA16.1","TLCA",0.709803777927145,1.81635516273582e-07
"TG.52.8.FA18.2","TLCA",0.557531868258172,0.000187210268012017
"TG.53.0.FA16.0","TLCA",0.289163199133299,0.110503163338523
"TG.53.1.FA16.0","TLCA",0.694049239206166,4.10995639486317e-07
"TG.53.1.FA17.0","TLCA",0.722126780596656,1.09999872997622e-07
"TG.53.1.FA18.0","TLCA",0.71071220112571,1.75160102766204e-07
"TG.53.1.FA18.1","TLCA",0.708022115216442,1.95269444081544e-07
"TG.53.2.FA16.0","TLCA",0.677384436369412,1.0128526119937e-06
"TG.53.2.FA17.0","TLCA",0.722149101043807,1.09999872997622e-07
"TG.53.2.FA18.1","TLCA",0.714725266915178,1.54648404301461e-07
"TG.53.2.FA18.2","TLCA",0.596478920830862,3.67391000414624e-05
"TG.53.3.FA16.0","TLCA",0.595603774391677,3.81334648987676e-05
"TG.53.3.FA17.0","TLCA",0.612041383992271,1.9127910207086e-05
"TG.53.3.FA18.2","TLCA",0.613659392105815,1.78978234426564e-05
"TG.53.4.FA16.0","TLCA",0.209003624820569,0.309784125813702
"TG.53.4.FA17.0","TLCA",0.189601906044307,0.375889961737467
"TG.53.4.FA18.2","TLCA",0.59002834197221,4.6808169823057e-05
"TG.53.4.FA18.3","TLCA",0.519453116728105,0.000623680033123951
"TG.53.4.FA20.4","TLCA",0.250429579192365,0.233989433567493
"TG.53.5.FA20.4","TLCA",0.261037077915817,0.164520961622167
"TG.53.6.FA20.4","TLCA",0.227205726892355,0.340149248057025
"TG.54.0.FA16.0","TLCA",0.651229491773515,3.5729274344072e-06
"TG.54.0.FA18.0","TLCA",0.707527986688892,2.00360094463816e-07
"TG.54.1.FA16.0","TLCA",0.707415902470316,2.00360094463816e-07
