"Liver_lipid","Intestinal_ba","bicor","adj_pval"
"FA.20.2","3a7b",-0.164909985968455,0.512222919088133
"FA.20.3","3a7b",-0.15304058452453,0.550583922195081
"FA.20.4","3a7b",-0.0771301077433836,0.805348716613258
"FA.20.5","3a7b",-0.0962378845692973,0.743664757889813
"FA.22.0","3a7b",-0.289154288210263,0.213658348748797
"FA.22.1","3a7b",-0.142080068131233,0.58737981922345
"FA.22.2","3a7b",-0.295117829354734,0.204042767177839
"FA.22.4","3a7b",0.214701521509881,0.376076707747745
"FA.22.5","3a7b",0.384234249816355,0.0829734971037795
"FA.22.6","3a7b",0.15327634161141,0.549930502999765
"FA.24.0","3a7b",0.0177947140999509,0.993869308238819
"FA.24.1","3a7b",0.0899041305384844,0.764955812720727
"HexCER.d18.1.16.0","3a7b",0.0278246290087843,0.962624171079775
"HexCER.d18.1.18.0","3a7b",-0.302335874505425,0.331825021047221
"HexCER.d18.1.20.0","3a7b",-0.184393805604048,0.453189009093725
"HexCER.d18.1.20.1","3a7b",NA,NA
"HexCER.d18.1.22.0","3a7b",-0.290607538671262,0.211412904421866
"HexCER.d18.1.22.1","3a7b",-0.219846199835354,0.363359700104715
"HexCER.d18.1.24.0","3a7b",0.187042526589634,0.446379177101231
"HexCER.d18.1.24.1","3a7b",0.172719787074634,0.487839699440951
"HexCER.d18.1.26.0","3a7b",0.347643147263858,0.535807365050267
"LPC.14.0","3a7b",-0.315964199993988,0.715215077762435
"LPC.15.0","3a7b",-0.0511053786533937,0.922183038159552
"LPC.16.0","3a7b",-0.240779119509945,0.312902166854297
"LPC.16.1","3a7b",-0.326005571361016,0.15197765587938
"LPC.17.0","3a7b",-0.340931319536135,0.130596802295981
"LPC.18.0","3a7b",-0.146931703599776,0.57083202957685
"LPC.18.1","3a7b",-0.2946745798206,0.204790698482059
"LPC.18.2","3a7b",0.139138660464275,0.597533771092684
"LPC.18.3","3a7b",0.151836050297794,0.698373806093643
"LPC.20.0","3a7b",0.190212192079394,0.629913672987617
"LPC.20.1","3a7b",-0.263357160822279,0.407193935670965
"LPC.20.2","3a7b",-0.127571992401172,0.747633438684785
"LPC.20.3","3a7b",-0.287199083662237,0.217081863313022
"LPC.20.4","3a7b",-0.189766673335549,0.438993213650296
"LPC.20.5","3a7b",NA,NA
"LPC.22.5","3a7b",-1,NA
"LPC.22.6","3a7b",0.0138576421793011,1
"LPE.16.0","3a7b",-0.239704832327947,0.315344675694144
"LPE.16.1","3a7b",-0.303072104473408,0.189866103721354
"LPE.17.0","3a7b",-0.327615455747388,0.149568124000227
"LPE.18.0","3a7b",-0.141225038801512,0.590171868728912
"LPE.18.1","3a7b",-0.376900305558234,0.0899120046088007
"LPE.18.2","3a7b",0.161302793362116,0.523427776309566
"LPE.20.0","3a7b",-1,NA
"LPE.20.1","3a7b",-0.272093709899962,0.245826426666819
"LPE.20.2","3a7b",0.0325933780540416,0.961288773105512
"LPE.20.3","3a7b",-0.221760465204042,0.358785130505232
"LPE.20.4","3a7b",-0.0474743805025393,0.901479737770031
"LPE.22.6","3a7b",0.194974731591237,0.618057010556969
"LacCER.d18.1.16.0","3a7b",-0.0505045896899872,0.899049694368682
"LacCER.d18.1.18.0","3a7b",-0.153592652639842,0.588473199198275
"LacCER.d18.1.18.1","3a7b",-0.146626977476399,0.578931556736223
"LacCER.d18.1.20.1","3a7b",-0.0423766775149675,0.981739065670754
"LacCER.d18.1.22.0","3a7b",0.303600847334752,0.541255747347874
"LacCER.d18.1.24.1","3a7b",NA,NA
"PC.12.0_16.0","3a7b",0.205778926505806,0.398835807789687
"PC.12.0_16.1","3a7b",-0.0655045510905948,0.901832193243329
"PC.12.0_18.0","3a7b",0.0952963870158299,0.746364969222077
"PC.12.0_18.1","3a7b",0.173532833286061,0.493374288934247
"PC.12.0_18.2","3a7b",-0.20472772677085,0.661395627444164
"PC.14.0_16.0","3a7b",-0.183768950966639,0.462481562430594
"PC.14.0_16.1","3a7b",-0.026630491362606,0.987430534662218
"PC.14.0_18.0","3a7b",-0.233260685917357,0.601919540140915
"PC.14.0_18.1","3a7b",-0.291368007872536,0.210179184403975
"PC.14.0_18.2","3a7b",0.058895314392611,0.864777785322193
"PC.14.0_20.3","3a7b",-0.096049375188683,0.818177436862625
"PC.14.0_20.4","3a7b",-0.0706376608069064,0.844136367749307
"PC.14.0_22.6","3a7b",-0.197368145099029,0.612071484308518
"PC.14.1_15.0","3a7b",0.447829849071401,0.843334176196092
"PC.14.1_17.0","3a7b",-0.0698387552594135,0.969827753685099
"PC.14.1_20.0","3a7b",-0.103574969994359,0.960741716858564
"PC.15.0_16.1","3a7b",0.719872426735331,0.182414849618474
"PC.15.0_18.1","3a7b",-0.174092988567459,0.508459348293288
"PC.15.0_18.2","3a7b",0.124899337331092,0.647443013179972
"PC.15.0_20.3","3a7b",-0.566421823678573,0.348210570906179
"PC.15.0_20.4","3a7b",-0.0280982626140968,0.980212202220657
"PC.15.0_22.6","3a7b",-0.226104141895071,0.544531079869843
"PC.16.0_16.0","3a7b",0.216526661865313,0.371256205671669
"PC.16.0_16.1","3a7b",-0.2693077937855,0.250770782180221
"PC.16.0_18.0","3a7b",-0.0161197064599788,0.998664959802689
"PC.16.0_18.1","3a7b",-0.288908651588318,0.214103984742336
"PC.16.0_18.2","3a7b",0.20887845066831,0.390575381641764
"PC.16.0_18.3","3a7b",0.087467837842618,0.772724062933985
"PC.16.0_20.1","3a7b",-0.180803748654058,0.463086272786697
"PC.16.0_20.2","3a7b",-0.231383521734403,0.335564554519836
"PC.16.0_20.3","3a7b",-0.363233387671564,0.103765196099115
"PC.16.0_20.4","3a7b",-0.183509047026622,0.456079212287779
"PC.16.0_20.5","3a7b",0.184962405924807,0.451503286024958
"PC.16.0_22.1","3a7b",NA,NA
"PC.16.0_22.2","3a7b",NA,NA
"PC.16.0_22.4","3a7b",-0.157005942192272,0.56918422193856
"PC.16.0_22.5","3a7b",0.284736404894722,0.22186859097413
"PC.16.0_22.6","3a7b",0.188669093460831,0.441994597510488
"PC.16.1_17.0","3a7b",0.00991673514369565,1
"PC.16.1_18.0","3a7b",-0.267047963688338,0.25522719208735
"PC.16.1_18.1","3a7b",-0.290029587186323,0.212215180805156
"PC.16.1_18.2","3a7b",0.176280642411942,0.476508211857388
"PC.16.1_20.0","3a7b",0.00979075186893588,1
"PC.17.0_18.1","3a7b",-0.293148975872894,0.20709025543267
"PC.17.0_18.2","3a7b",-0.0346782666957889,0.942370208816942
"PC.17.0_20.3","3a7b",-0.312184002370646,0.213838602621119
"PC.17.0_20.4","3a7b",-0.173646598570228,0.484483445862799
"PC.17.0_22.5","3a7b",0,1
"PC.17.0_22.6","3a7b",-0.137642410419098,0.647738037198336
"PC.18.0_18.0","3a7b",0.0206051556407041,0.984510112844432
"PC.18.0_18.1","3a7b",-0.219212278052868,0.364894073974382
"PC.18.0_18.2","3a7b",0.122641344882632,0.655302067888458
"PC.18.0_18.3","3a7b",0.0296773642680094,0.957679948445044
"PC.18.0_20.0","3a7b",0.225666513321185,0.349001438401853
"PC.18.0_20.1","3a7b",-0.0850739883090274,0.805396258963724
"PC.18.0_20.2","3a7b",-0.160129693953967,0.527228360689636
"PC.18.0_20.3","3a7b",-0.244128163538277,0.304594577254499
"PC.18.0_20.4","3a7b",-0.0871317148077752,0.773668637939399
"PC.18.0_20.5","3a7b",0.175360311938334,0.487690971506231
"PC.18.0_22.4","3a7b",-0.206766761993331,0.573973249351754
"PC.18.0_22.5","3a7b",0.242738480829724,0.316624929356653
"PC.18.0_22.6","3a7b",0.240037685855771,0.314641420233436
"PC.18.1_18.1","3a7b",-0.273032203797332,0.243978552232332
"PC.18.1_18.2","3a7b",-0.144104795951784,0.580142971266047
"PC.18.1_18.3","3a7b",0.0509114231939894,0.890657041607446
"PC.18.1_20.0","3a7b",-0.131211666934274,0.625476185406295
"PC.18.1_20.1","3a7b",-0.225225026818203,0.401896395773604
"PC.18.1_20.2","3a7b",-0.225581059454905,0.365559267681282
"PC.18.1_20.3","3a7b",-0.287575918368272,0.216364621938103
"PC.18.1_20.4","3a7b",-0.235525453167856,0.325784610563462
"PC.18.1_20.5","3a7b",0.135673523882731,0.632044743650868
"PC.18.1_22.4","3a7b",0.211099477207999,0.729109220005418
"PC.18.1_22.5","3a7b",-0.160208568373343,0.550750587906742
"PC.18.1_22.6","3a7b",0.0560829819642063,0.873597447449407
"PC.18.2_18.2","3a7b",0.191895731805324,0.433221226523542
"PC.18.2_18.3","3a7b",0.355758707835972,0.252468453302737
"PC.18.2_20.0","3a7b",0.212584041858856,0.380991260771645
"PC.18.2_20.1","3a7b",-0.173638909136627,0.484483445862799
"PC.18.2_20.2","3a7b",0.0927744413298666,0.773838593212828
"PC.18.2_20.3","3a7b",-0.364921801576823,0.102097158448254
"PC.18.2_20.4","3a7b",0.0268304888539278,0.965787500077137
"PC.18.2_20.5","3a7b",-0.408983932415255,0.445990550464496
"PC.18.2_22.5","3a7b",-1,NA
"PC.18.2_22.6","3a7b",0.128375791249406,0.662497005739927
"PC.18.3_20.0","3a7b",NA,NA
"PC.20.0_20.3","3a7b",-0.126386898363559,0.767500280730849
"PC.20.0_20.4","3a7b",0.0833414929640098,0.794017867896758
"PC.20.0_22.6","3a7b",0.281940372257081,0.926367378281311
"PE.14.0_16.0","3a7b",0.336942207555177,0.255954237525397
"PE.14.0_18.0","3a7b",-1,NA
"PE.14.0_18.1","3a7b",0.353878153492135,0.20702187529571
"PE.14.0_18.2","3a7b",0.0804153426701401,0.895672493341878
"PE.14.0_20.3","3a7b",NA,NA
"PE.14.0_20.4","3a7b",-1,NA
"PE.14.0_22.6","3a7b",NA,NA
"PE.14.1_18.1","3a7b",0.234211912287792,0.410897122706508
"PE.15.0_18.1","3a7b",NA,NA
"PE.15.0_20.4","3a7b",NA,NA
"PE.15.0_22.6","3a7b",-0.134483956696735,0.714169290153943
"PE.16.0_16.0","3a7b",0.291080856314371,0.210595729729066
"PE.16.0_16.1","3a7b",-0.160639060623083,0.525484255250397
"PE.16.0_18.0","3a7b",0.252221763162904,0.286980603869623
