"Liver_lipid","Biliary_ba","bicor","adj_pval"
"Cer.d18.1.18.1","3b7a12a",0.446703344309526,0.0653084701254354
"Cer.d18.1.20.0","3b7a12a",-0.484554751640717,0.00308362572405422
"Cer.d18.1.20.1","3b7a12a",0.242428901347049,0.365506079923774
"Cer.d18.1.22.0","3b7a12a",-0.310319632700072,0.115439551667089
"Cer.d18.1.22.1","3b7a12a",-0.404222255535259,0.0226221322288801
"Cer.d18.1.24.0","3b7a12a",0.158560820423437,0.519353942473611
"Cer.d18.1.24.1","3b7a12a",0.277292363841278,0.174679151277666
"DG.12.0_16.0","3b7a12a",1,NA
"DG.12.0_18.1","3b7a12a",-0.376800173936157,0.0447407270718814
"DG.12.0_18.2","3b7a12a",-0.120643959383742,0.752140114490132
"DG.14.0_14.0","3b7a12a",-0.0825236918647696,0.873418626058476
"DG.14.0_16.0","3b7a12a",-0.35919938137943,0.0604595609332008
"DG.14.0_16.1","3b7a12a",-0.4350723146447,0.0123112139232503
"DG.14.0_18.1","3b7a12a",-0.362340153862696,0.0540051367913467
"DG.14.0_18.2","3b7a12a",-0.268686893907737,0.19870439495281
"DG.14.0_18.3","3b7a12a",1,NA
"DG.14.0_20.0","3b7a12a",-0.221813399081275,0.836649983583913
"DG.14.0_20.4","3b7a12a",-0.809938575838292,0.660834108616599
"DG.14.0_22.6","3b7a12a",-0.418439638112383,0.178861237258066
"DG.14.1_16.0","3b7a12a",-0.440688857420648,0.0108165360565765
"DG.14.1_18.1","3b7a12a",-0.388968411448309,0.0382204245123269
"DG.15.0_18.1","3b7a12a",-0.40512705579741,0.0239707216596734
"DG.15.0_18.2","3b7a12a",-0.157186685375928,0.52844123104433
"DG.16.0_16.0","3b7a12a",-0.125269897531477,0.636898451092132
"DG.16.0_16.1","3b7a12a",-0.221446577307435,0.321828747305678
"DG.16.0_18.0","3b7a12a",-0.221150793515094,0.364119694605625
"DG.16.0_18.1","3b7a12a",-0.149189440977041,0.553826669282983
"DG.16.0_18.2","3b7a12a",0.456877621836859,0.00722121004607307
"DG.16.0_18.3","3b7a12a",0.630046331647747,0.0639002479706455
"DG.16.0_20.3","3b7a12a",-0.110101660176911,0.870264152256942
"DG.16.0_20.4","3b7a12a",-0.1309687254185,0.74295977102394
"DG.16.0_20.5","3b7a12a",0.687493716745103,0.0514023745654757
"DG.16.0_22.5","3b7a12a",0.51915179264436,0.21816444710906
"DG.16.0_22.6","3b7a12a",0.0519942900937107,0.937250369604177
"DG.16.1_16.1","3b7a12a",-0.298454804532778,0.138860779304209
"DG.16.1_18.0","3b7a12a",-0.251198728154444,0.245463123334738
"DG.16.1_18.1","3b7a12a",-0.237057529259044,0.276959164968177
"DG.16.1_18.2","3b7a12a",0.0435118722665897,0.911738796475641
"DG.16.1_18.3","3b7a12a",0.450906365400137,0.291659821388542
"DG.16.1_20.2","3b7a12a",-0.251518787260241,0.244939489522547
"DG.16.1_20.4","3b7a12a",-0.386596647253685,0.167936791377803
"DG.16.1_22.6","3b7a12a",0.375972698907703,0.232727668005584
"DG.18.0_18.1","3b7a12a",-0.230229685883015,0.29634428825815
"DG.18.0_18.2","3b7a12a",0.408503227538008,0.0222944457851136
"DG.18.0_18.3","3b7a12a",0.445896060625328,0.275007442777865
"DG.18.0_22.6","3b7a12a",0.726761401584648,0.000898971316167964
"DG.18.1_18.1","3b7a12a",-0.238726972506419,0.271886547321069
"DG.18.1_18.2","3b7a12a",0.116648620529102,0.662830951113556
"DG.18.1_20.1","3b7a12a",-0.2336630256924,0.286983360786348
"DG.18.1_20.2","3b7a12a",-0.20061410156061,0.387924097673535
"DG.18.1_20.3","3b7a12a",-0.152429139926965,0.798249391076879
"DG.18.1_20.4","3b7a12a",-0.252734634148333,0.444823522107038
"DG.18.1_20.5","3b7a12a",0.625641857916127,0.0990147466966624
"DG.18.1_22.4","3b7a12a",-0.388415586585064,0.17649662182764
"DG.18.1_22.5","3b7a12a",0.684942470068326,0.0530333166125796
"DG.18.1_22.6","3b7a12a",0.831867284462669,7.11393115467e-05
"DG.18.2_18.3","3b7a12a",0.582057604893977,0.104302821210432
