"Plasma_lipid","Biliary_ba","bicor","adj_pval"
"LPC.18.3","3b7a12a",0.0411407552987588,0.95707801358371
"LPC.20.0","3b7a12a",0.0130763230648331,1
"LPC.20.1","3b7a12a",-0.278575835980163,0.152238921595968
"LPC.20.2","3b7a12a",-0.00300724389341927,1
"LPC.20.3","3b7a12a",-0.0838582940440739,0.800516323224631
"LPC.20.4","3b7a12a",0.0172599666282319,1
"LPC.20.5","3b7a12a",0.27979004740504,0.266354776064379
"LPC.22.1","3b7a12a",-0.0482584009903842,1
"LPC.22.4","3b7a12a",0.467142671088242,0.407634532550176
"LPC.22.5","3b7a12a",0.088855795171676,0.821550137711544
"LPC.22.6","3b7a12a",0.273717682541998,0.167569019213237
"LPE.16.0","3b7a12a",-0.256120808943249,0.201188505161643
"LPE.18.0","3b7a12a",-0.0468102707366024,0.93557924554457
"LPE.18.1","3b7a12a",-0.0718345589990544,0.899555923880377
"LPE.18.2","3b7a12a",0.152984109962126,0.90903237876918
"LPE.20.3","3b7a12a",NA,NA
"LPE.20.4","3b7a12a",0.294328130266197,0.82160685088529
"LacCER.d18.1.16.0","3b7a12a",-0.809596538568241,0.0532545159354586
"LacCER.d18.1.18.0","3b7a12a",NA,NA
"LacCER.d18.1.18.1","3b7a12a",0.680660266276361,0.452613855334406
"LacCER.d18.1.22.0","3b7a12a",NA,NA
"LacCER.d18.1.22.1","3b7a12a",NA,NA
"LacCER.d18.1.24.0","3b7a12a",NA,NA
"LacCER.d18.1.24.1","3b7a12a",NA,NA
"LacCER.d18.1.26.1","3b7a12a",1,NA
"PC.12.0_16.0","3b7a12a",-0.348197834219112,0.0694109562998382
"PC.12.0_18.0","3b7a12a",-0.0880625279479446,0.909716779118798
"PC.12.0_18.1","3b7a12a",0.258065920728132,0.388877407415083
"PC.12.0_18.2","3b7a12a",-0.760025158487027,0.723119858498888
"PC.12.0_18.3","3b7a12a",0.0701630946314012,1
"PC.14.0_16.0","3b7a12a",-0.499306317803807,0.00476004661914875
"PC.14.0_16.1","3b7a12a",-0.0869391124434599,0.938504009581824
"PC.14.0_18.0","3b7a12a",0.443706586959354,0.811404151241972
"PC.14.0_18.1","3b7a12a",-0.661134815053861,9.38078239264594e-05
"PC.14.0_18.2","3b7a12a",-0.655962888859505,9.38078239264594e-05
"PC.14.0_20.3","3b7a12a",-0.274918176013068,0.422099901903765
