Liver_lipid,P value,Mean of Control CRISPR,Mean of Osbpl3 CRISPR,Difference,SE of difference,t ratio,df,Gene,Liver_lipid.y,bicor,adj_pval,abs_bicor,Max_abundance,Lipid_class,significant_corr,fold_change
TG 52:2-FA18:0,0.012614,0.9188,0.5247,0.3942,0.1403,2.809,16,Osbpl3,TG.52.2.FA18.0,0.834398222615094,2.07682960430874e-12,0.834398222615094,2.70461448,TG,yes,0.57107096212451
TG 52:3-FA18:2,0.012619,11.24,7.023,4.22,1.502,2.808,16,Osbpl3,TG.52.3.FA18.2,0.836745865130721,1.61492253677362e-12,0.836745865130721,15.9932345,TG,yes,0.624822064056939
TG 52:2-FA16:1,0.01266,0.8633,0.4663,0.397,0.1414,2.807,16,Osbpl3,TG.52.2.FA16.1,0.833283245233525,2.33963762175299e-12,0.833283245233525,3.945918201,TG,yes,0.540136684814085
TG 57:3-FA18:2,0.012786,0.008522,0.006057,0.002464,0.0008795,2.802,16,Osbpl3,TG.57.3.FA18.2,0.284982819330884,0.0809106415662686,0.284982819330884,0.084785413,TG,no,0.710748650551514
TG 51:2-FA17:0,0.01279,0.4573,0.266,0.1913,0.06826,2.802,16,Osbpl3,TG.51.2.FA17.0,0.841308358064971,9.76940950438481e-13,0.841308358064971,0.615606116,TG,yes,0.581675049201837
TG 54:1-FA20:0,0.01285,0.3232,0.1898,0.1334,0.04765,2.8,16,Osbpl3,TG.54.1.FA20.0,0.797225384546549,8.58457617995707e-11,0.797225384546549,0.737547504,TG,yes,0.587252475247525
TG 54:5-FA18:1,0.01285,0.9119,0.6368,0.2751,0.09825,2.8,16,Osbpl3,TG.54.5.FA18.1,0.41858987354561,0.00557567022444018,0.41858987354561,1.424993805,TG,yes,0.698322184450049
TG 50:4-FA18:3,0.012865,0.1472,0.09841,0.04878,0.01743,2.799,16,Osbpl3,TG.50.4.FA18.3,0.811346701421054,2.26068043023853e-11,0.811346701421054,0.230351016,TG,yes,0.668546195652174
TG 56:3-FA16:0,0.012919,0.04052,0.02644,0.01408,0.005033,2.797,16,Osbpl3,TG.56.3.FA16.0,0.866309993666514,5.30049705663393e-14,0.866309993666514,0.089511684,TG,yes,0.652517275419546
TG 50:2-FA18:0,0.012935,0.1281,0.07182,0.05632,0.02014,2.796,16,Osbpl3,TG.50.2.FA18.0,0.840522903103742,1.06736161623928e-12,0.840522903103742,0.312725231,TG,yes,0.560655737704918
TG 47:0-FA16:0,0.013043,0.104,0.05807,0.04596,0.01646,2.792,16,Osbpl3,TG.47.0.FA16.0,0.850181083017891,3.57531954562912e-13,0.850181083017891,0.16897867,TG,yes,0.558365384615385
TG 49:0-FA17:0,0.013132,0.04562,0.02465,0.02097,0.00752,2.789,16,Osbpl3,TG.49.0.FA17.0,0.842346452921079,8.71060634212889e-13,0.842346452921079,0.09060621,TG,yes,0.540333187198597
TG 49:2-FA14:0,0.013261,0.1,0.06137,0.03863,0.01387,2.784,16,Osbpl3,TG.49.2.FA14.0,0.834397374053587,2.07682960430874e-12,0.834397374053587,0.110199325,TG,yes,0.6137
TG 52:3-FA18:3,0.013262,0.01139,0.007153,0.004236,0.001521,2.784,16,Osbpl3,TG.52.3.FA18.3,0.848024607739478,4.58302262262236e-13,0.848024607739478,0.101525446,TG,yes,0.628007023705004
TG 56:1-FA18:1,0.013274,0.0629,0.04026,0.02264,0.008131,2.784,16,Osbpl3,TG.56.1.FA18.1,0.818079891408975,1.16277749008079e-11,0.818079891408975,0.090421819,TG,yes,0.640063593004769
TG 53:1-FA16:0,0.013364,0.1242,0.06679,0.05737,0.02063,2.781,16,Osbpl3,TG.53.1.FA16.0,0.853839422012115,2.34606787620033e-13,0.853839422012115,0.299893473,TG,yes,0.537761674718196
TG 56:2-FA20:0,0.013426,0.1517,0.09892,0.05279,0.019,2.778,16,Osbpl3,TG.56.2.FA20.0,0.799187274571655,7.15288791461738e-11,0.799187274571655,0.380839352,TG,yes,0.652076466710613
TG 49:1-FA17:0,0.013453,0.1601,0.08926,0.07085,0.02551,2.777,16,Osbpl3,TG.49.1.FA17.0,0.837860660584527,1.43124661961237e-12,0.837860660584527,0.217626941,TG,yes,0.557526545908807
TG 50:3-FA18:3,0.013455,0.06621,0.04202,0.0242,0.008712,2.777,16,Osbpl3,TG.50.3.FA18.3,0.840332123231546,1.09008563254951e-12,0.840332123231546,0.11192373,TG,yes,0.634647334239541
TG 54:4-FA20:1,0.013489,0.1258,0.07771,0.04813,0.01734,2.776,16,Osbpl3,TG.54.4.FA20.1,0.847554747449467,4.83326486736214e-13,0.847554747449467,0.178727439,TG,yes,0.617726550079491
TG 51:4-FA15:0,0.013541,0.02681,0.01998,0.00683,0.002462,2.774,16,Osbpl3,TG.51.4.FA15.0,-0.0440801350570047,0.832377745339238,0.0440801350570047,0.055134953,TG,no,0.745244311823946
TG 52:4-FA18:2,0.01356,3.857,2.561,1.295,0.4669,2.774,16,Osbpl3,TG.52.4.FA18.2,0.484325209992524,0.000999415748424228,0.484325209992524,5.47359315,TG,yes,0.663987555094633
TG 49:2-FA16:0,0.013575,0.4876,0.2832,0.2044,0.07372,2.773,16,Osbpl3,TG.49.2.FA16.0,0.831314165267769,2.89006798789529e-12,0.831314165267769,0.603850247,TG,yes,0.580803937653815
TG 50:0-FA18:0,0.013724,0.1736,0.09258,0.08099,0.02926,2.768,16,Osbpl3,TG.50.0.FA18.0,0.835969148571105,1.75848286890725e-12,0.835969148571105,0.902533645,TG,yes,0.533294930875576
TG 52:2-FA20:1,0.013839,0.6877,0.3754,0.3123,0.113,2.764,16,Osbpl3,TG.52.2.FA20.1,0.84269136531979,8.37799427734768e-13,0.84269136531979,1.106015669,TG,yes,0.545877562890795
TG 50:3-FA16:0,0.013891,3.419,2.076,1.344,0.4865,2.762,16,Osbpl3,TG.50.3.FA16.0,0.844241241569892,7.06053421870762e-13,0.844241241569892,4.311619306,TG,yes,0.607195086282539
TG 49:2-FA16:1,0.01393,0.7189,0.4211,0.2977,0.1079,2.761,16,Osbpl3,TG.49.2.FA16.1,0.83526112602089,1.89699835148834e-12,0.83526112602089,0.87265397,TG,yes,0.585756016135763
CE 20:0,0.013962,0.05067,0.03976,0.01091,0.003955,2.759,16,Osbpl3,CE.20.0,0.450023370242814,0.00256055408915426,0.450023370242814,0.075541505,CE,yes,0.784685218077758
