Dataset,ID,Diet,Duration,3a7b,3b7a12a,a-MCA,b-MCA,CA,DCA,HDCA,LCA,Tauro 3a12b,Tauro 3a6a,T-3a7k,T-a-MCA,T-b-MCA,T-o-MCA,TCDCA,TCA,TDCA,TLCA
Intestine,5,WD,8,2.846612296,0.38346926,313.1508783,2195.702635,1270.200753,11.32528231,0.583437892,0.19761606,8.038739021,11.52760351,16.58092848,2265.997491,10598.80803,3245.138018,5983.061481,7230.395232,302.9877666,3.251254705
Intestine,6,WD,8,,0.528229367,441.9363216,2883.384408,2269.937153,34.36763102,0.724562406,1.4631486,17.32405339,15.72066691,13.06082169,2434.529684,9906.871656,2998.753441,5378.12289,9425.388251,535.7087207,4.510985301
Intestine,7,WD,8,0.518750912,0.334889829,290.9601634,1805.253174,1390.996644,21.3278856,0.7617102,1.258572888,15.4881074,17.22603239,11.81088574,2418.211002,8827.520794,2837.589377,5768.422589,8538.596235,316.4599445,3.828250401
Intestine,8,WD,8,,0.323978842,270.1586835,2205.43638,1177.740229,12.13488099,0.639141934,0.198354393,6.276814575,8.474140464,10.80370262,1204.672348,6191.74258,1534.822216,3257.640317,3916.838084,189.1485454,2.040846312
Intestine,13,WD,8,,0.296777417,242.727954,3821.458906,1006.390207,19.02523108,0.831876093,1.98301274,5.139645266,16.74094429,12.14539096,2010.442168,14266.45016,3114.81389,4469.198101,4873.444916,217.5490882,2.176367724
Intestine,14,WD,8,2.181973759,0.286651455,84.15573303,1014.446663,280.1055334,5.091272105,0.385054193,0.973331432,5.758699373,15.18397034,15.38505419,2419.851683,15008.12892,2136.622932,5626.711352,8285.510553,355.4691957,3.253707929
Intestine,15,WD,8,3.660040141,0.268804358,173.2390328,1506.16458,908.1716525,9.147949919,0.533307847,0.982748734,16.92822326,16.79059543,15.70247539,2536.222881,11222.25939,2516.008793,6994.719488,10941.4126,430.7751123,3.804119277
Intestine,16,WD,8,,0.271110679,151.8001166,1684.952871,1045.350306,22.16985716,0.817704791,0.40010689,11.76926441,28.60217666,14.00155476,2205.616558,10554.07638,2995.33573,5203.57594,8511.126227,605.6044116,5.111748129
Intestine,21,WD,8,,0.341909113,184.8256792,1084.630921,992.0557826,11.51238278,0.701130079,0.590767011,4.728300072,17.71002645,13.52921375,1842.414042,4509.305121,2447.463333,4843.207502,8151.286367,443.2050974,3.702572734
Intestine,22,WD,8,0.479623824,0.1345551,41.99421268,297.1497468,584.750422,3.628647215,0.421027249,0.579455028,4.101760309,17.12322161,13.00843984,2093.850977,6718.205932,2889.028213,5659.778153,12482.3728,364.9481553,2.491439595
Intestine,23,WD,8,2.538307281,0.555327026,129.1829494,6025.298231,1991.911765,5.506993007,0.430378445,1.031982723,1.777046483,2.443438914,3.748457425,890.8371041,14988.7392,2259.25545,1208.738688,4835.510078,49.68788564,0.756633073
Intestine,24,WD,8,,0.452772964,142.5476603,1760.225303,2293.890815,15.82755633,0.636915078,1.148180243,2.920277296,12.61481802,7.720970537,1791.594454,6230.069324,2428.509532,3327.989601,8395.580589,274.5017331,2.523830156
