ID,Diet,Time,ID.Diet.Time,BileVol,CA,aMCA,bMCA,DCA,HDCA,a3b7a12a,TCA,GCA,TDCA,TCDCA,GCDCA,TaMCA,TbMCA,ToMCA,TLCA,TUDCA,T3a6a,T3a12b,T3a7k
40,WD,4,40.WD.4,1,65.808,20.897,119.37,1.023,0.556,0.448,31693,58.614,2281.9,2170.8,1.908,7243.8,24369,5078.9,16.22,574.41,412.35,88.295,88.737
41,WD,4,41.WD.4,1.4,870.772,152.348,903.21,1.8844,2.2988,3.5924,95918.2,127.1746,5917.38,8075.9,5.4838,26021.8,95333,38378.2,37.6278,2022.44,1632.4,312.396,412.902
42,WD,4,42.WD.4,7.1,595.1149,134.3462,1180.588,3.9973,1.8389,2.3643,178856.1,298.2071,10975.89,19341.11,10.1317,75558.2,241392.9,119095.4,77.9438,4428.483,2949.056,667.3006,527.2318
43,WD,4,43.WD.4,8.8,2030.512,287.3464,2221.472,5.5528,5.9224,5.192,252815.2,456.3856,14580.72,11653.84,15.7432,54518.64,311335.2,53155.52,58.1064,3633.168,3079.912,661.3816,749.4872
44,WD,4,44.WD.4,8.9,4893.487,430.0836,4653.187,8.989,18.5921,14.8096,485637.4,629.5237,32961.15,32387.99,15.9666,114649.8,479656.6,112487.1,148.3274,9967.11,6154.795,1533.737,1295.573
45,WD,4,45.WD.4,2.4,274.488,42.4296,482.88,1.7232,0.7872,1.2984,79466.4,126.204,3020.88,3951.12,2.9448,12122.64,65625.6,22142.64,19.9656,734.28,684.144,238.8648,218.3064
47,WD,4,47.WD.4,4,1714.68,171.72,2875.28,3.212,2.184,2.264,186508,425.36,7610,11104,6.944,44480,269224,97344,36.168,2317.52,1788,537.36,546.52
48,WD,4,48.WD.4,6.2,1284.888,166.3274,2203.852,3.4286,0.5022,4.03,336356.2,780.332,11568.58,19888.98,14.9668,63959.2,317923.6,144391.8,42.997,2846.11,2875.746,909.85,594.053
49,WD,2,49.WD.2,9.5,4971.825,451.668,2772.86,4.6645,3.838,16.644,432259.5,1591.915,9766.95,17644.35,28.9085,91857.4,638172,112765,88.331,5210.845,2845.155,2419.27,842.403
50,WD,2,50.WD.2,7.5,2809.8,261.27,2744.7,2.925,2.0325,12.78,587430,1331.775,14350.5,37257,25.3725,104895,560422.5,212445,70.905,4889.175,3938.175,1917.675,1262.4
51,WD,2,51.WD.2,11.4,4446.57,469.6458,5911.242,8.208,3.0666,16.5072,615919.2,1331.064,19874.76,36537,36.4458,82363.86,542548.8,133904.4,97.9716,8394.732,6133.314,2022.588,1457.376
54,WD,2,54.WD.2,8.1,2191.374,193.2984,3469.716,5.5728,5.5161,6.2127,229076.1,537.5565,13823.46,16536.15,16.2243,47202.75,362596.5,59543.91,55.8657,3267.783,1554.309,798.8706,699.759
55,WD,2,55.WD.2,3.9,3717.558,278.0583,4231.5,1.794,1.7589,8.3304,144853.8,291.6576,6479.85,12355.59,7.0434,27152.19,235614.6,43098.9,30.3537,1842.048,1100.736,546.351,424.671
57,WD,2,57.WD.2,4.1,722.379,164.533,2719.407,1.5457,0.2829,1.7835,99634.1,710.038,4215.62,10952.74,35.4568,34784.4,369852.8,37726.15,37.7528,2029.623,885.395,299.9519,342.1696
58,WD,2,58.WD.2,4.6,1236.894,347.6358,4173.212,1.6238,-1.127,2.2724,144637.8,641.148,5489.18,13092.06,52.5642,48654.2,459825.2,42357.26,56.2166,3315.45,1705.22,476.974,576.564
59,WD,2,59.WD.2,5.4,1770.66,354.1968,3952.314,2.1654,1.9332,2.6622,240073.2,1809.918,18457.74,15986.7,171.9738,56754,403396.2,57007.8,57.8502,4205.088,2230.74,659.826,1092.906
60,WD,2,60.WD.2,3.3,1880.736,270.7419,2838.231,2.5509,3.0789,2.5674,90033.9,516.516,5991.15,10405.23,26.2383,19211.28,133019.7,19380.57,48.8103,1130.646,746.46,310.4475,379.005
