"ID","Treatment","3a7b","3b7a12a","a-MCA","b-MCA","CA","DCA","HDCA","LCA","Tauro 3a12b","Tauro 3a6a","T-3a7k","T-a-MCA","T-b-MCA","T-o-MCA","TCDCA","TCA","TDCA","TLCA"
30,"WD6",0.001256402,0.00053164,0.301677313,2.649461443,1.862228754,0.047525708,0.001428078,0.002652951,0.006708764,0.030293574,0.011896895,1.844827677,5.9114454,3.267728443,3.899541673,6.346070578,0.584343637,0.004103714
31,"WD6",0.003355019,0.000531889,0.311044082,2.071268009,1.410691166,0.023356045,0.000995861,0.000836809,0.007834036,0.030559911,0.014676539,1.900002052,5.642409836,2.61867747,4.748555962,6.092765041,0.663079211,0.005214897
32,"WD6",0.004192039,0.00015797,0.058089464,0.440024271,0.198770745,5.6823e-06,0.000433025,0.001078126,0.017133851,0.037175929,0.020795925,3.233365927,7.961019372,3.928684275,8.769399839,11.7259626,0.615361608,0.00447075
33,"WD6",0.002461367,0.000112507,0.280402295,2.063170386,0.944795325,0.015343693,0.000724295,0.00169328,0.017429521,0.028073081,0.020621705,3.216722461,11.02821639,2.855341874,5.359756441,7.888026347,0.497308385,0.003899099
34,"WD6",0.000800029,0.000178213,0.125394362,0.953612801,0.864074351,0.007612454,0.000552315,0.000244309,0.01290391,0.021230108,0.011711517,1.620629311,6.597772741,2.605736816,3.401844733,8.104523753,0.508868225,0.00277633
35,"WD6",0.000992765,0.000109728,0.059344627,0.457491267,0.335077767,6.192e-06,0.000476204,0.000782935,0.010680699,0.025791199,0.01167151,1.765254465,7.120578564,3.448237247,2.838180238,8.091601584,0.383298478,0.001832025
5,"WD8",0.002937885,0.000389388,0.321679533,2.483423143,1.276983848,0.011328018,0.000672926,0.000367696,0.009296234,0.017435795,0.017186144,2.423586942,11.2350834,3.444270804,6.045548124,7.897635809,0.63671483,0.004101758
6,"WD8",0.000406669,0.000541417,0.445478844,3.033786037,2.274937925,0.034371407,0.000789486,0.00195351,0.019425887,0.019766031,0.013435907,2.506357534,10.16695242,3.09282791,5.414561335,9.849073147,0.971493728,0.005599055
7,"WD8",0.001009378,0.000365702,0.302937828,2.165944995,1.397064917,0.021334006,0.000844232,0.001258573,0.018447636,0.028212996,0.012490571,2.615958127,9.45670874,3.046273118,5.83253084,9.567413174,0.640255997,0.005006961
8,"WD8",0.000115831,0.000338328,0.282983996,2.707736599,1.185879773,0.012138874,0.00072886,0.000198354,0.008127865,0.015727222,0.011625527,1.348274318,6.831116745,1.684780738,3.319527755,4.69299588,0.60817149,0.00286834
13,"WD8",0,0.000315678,0.251577335,4.388031793,1.008864937,0.019028789,0.000900949,0.001983013,0.006636022,0.023765799,0.012778946,2.136457672,15.00894035,3.341118831,4.507059399,5.255618318,0.36242216,0.002743152
14,"WD8",0.003084544,0.000291331,0.096157298,1.665394584,0.284884002,0.00509774,0.00047405,0.000973331,0.007916976,0.024685104,0.01683543,2.604268729,15.91968105,2.290976817,5.697456948,9.14855926,0.588290394,0.004020682
